id,artikul_wb,nazvanie_kratkoe,kategoriya,artikul_prodavca_osnovnoy,alternativnye_nazvaniya,wb,ozon,ym,megamarket,letual,zya,dop_artikuly_1,kod_nomenklatury_zya,dop_artikuly_2,nazvanie_wb_korrektnoe,artikul_yam,nazvanie_yam,ishodnyy_status_kommentariy,poiskovaya_stroka
84,,S.11 шампунь 250 мл,Домашка,шампунь_S.11,S11 universal шампунь 250 мл после кератинового выпрямления,4657784320341,4657784320341,4657784320341,4657784320341,4657784320341,4657784320341,шампунь_S.11,19000233219,шампунь_S.11,JKeratin S.11 шампунь для волос после кератина,103197623436,"Шампунь S.11 Universal для домашнего ежедневного ухода за волосами после кератинового выпрямления, ботокса (250 мл)",Нет,"S.11 шампунь 250 мл | Домашка | шампунь_S.11 | S11 universal шампунь 250 мл после кератинового выпрямления | JKeratin S.11 шампунь для волос после кератина | 103197623436 | Шампунь S.11 Universal для домашнего ежедневного ухода за волосами после кератинового выпрямления, ботокса (250 мл)"
85,76457235,S12 кондиционер 200 мл после кератинового выпрямления,Домашка,кондиционер_S.12,S12 universal кондиционер 200 мл после кератинового выпрямления,4657784320358,4657784320358,4657784320358,4657784320358,4657784320358,4657784320358,кондиционер_S.12,19000233167,кондиционер_S.12,JKeratin кондиционер для волос S.12 уход после кератина,102143201453,"Кондиционер S.12 Universal для домашнего ежедневного ухода за волосами после кератинового выпрямления, ботокса (200 мл)",Нет,"76457235 | S12 кондиционер 200 мл после кератинового выпрямления | Домашка | кондиционер_S.12 | S12 universal кондиционер 200 мл после кератинового выпрямления | JKeratin кондиционер для волос S.12 уход после кератина | 102143201453 | Кондиционер S.12 Universal для домашнего ежедневного ухода за волосами после кератинового выпрямления, ботокса (200 мл)"
86,76453832,S21 шампунь 250 мл. для осветленных волос,Домашка,шампунь_S.21,S21 шампунь 250 мл. для осветленных волос,2029620620625,OZN560260236,OZN560260236,2029620620625,2029620620625,2029620620625,шампунь_S.21,19000233220,шампунь_S.21,JKeratin шампунь для волос S.21 для нейтрализации желтизны,103196480501,Шампунь для домашнего ухода за волосами после кератинового выпрямления с нейтрализацией желтизны S.21 (250 мл),Нет,76453832 | S21 шампунь 250 мл. для осветленных волос | Домашка | шампунь_S.21 | S21 шампунь 250 мл. для осветленных волос | JKeratin шампунь для волос S.21 для нейтрализации желтизны | 103196480501 | Шампунь для домашнего ухода за волосами после кератинового выпрямления с нейтрализацией желтизны S.21 (250 мл)
87,,S22 кондиционер 200 мл. для осветленных волос,Домашка,кондиционер_S.22,S22 кондиционер 200 мл. для осветленных волос,2029621006626,4657784320372,OZN560265617,2029621006626,2029621006626,2029621006626,кондиционер_S.22,19000233168,кондиционер_S.22,JKeratin кондиционер для волос S.22 нейтрализация желтизны,101728881307,Кондиционер для домашнего ухода за волосами после кератинового выпрямления с нейтрализацией желтизны S.22 (200 мл),Нет,S22 кондиционер 200 мл. для осветленных волос | Домашка | кондиционер_S.22 | S22 кондиционер 200 мл. для осветленных волос | JKeratin кондиционер для волос S.22 нейтрализация желтизны | 101728881307 | Кондиционер для домашнего ухода за волосами после кератинового выпрямления с нейтрализацией желтизны S.22 (200 мл)
88,166090089,Color шампунь 250 мл для окрашенных волос,Домашка,шампунь_Color,Color шампунь 250 мл для окрашенных волос,4657784320266,4657784320266,4657784320266,4657784320266,4657784320266,4657784320266,шампунь_Color,19000233217,шампунь_Color,JKeratin Color шампунь для окрашенных волос после кератина,102148294218,"JKeratin Шампунь Color для ухода за окрашенными волосами, 250 мл",Нет,"166090089 | Color шампунь 250 мл для окрашенных волос | Домашка | шампунь_Color | Color шампунь 250 мл для окрашенных волос | JKeratin Color шампунь для окрашенных волос после кератина | 102148294218 | JKeratin Шампунь Color для ухода за окрашенными волосами, 250 мл"
89,166090091,Color кондиционер 200 мл для окрашенных волос,Домашка,кондиционер_Color,Color кондиционер 200 мл для окрашенных волос,4657784320259,4657784320259,4657784320259,4657784320259,4657784320259,4657784320259,кондиционер_Color,19000233166,кондиционер_Color,JKeratin Color кондиционер для волос после окрашивания,102059258251,"JKeratin Кондиционер Color для ухода за окрашенными волосами, 200 мл",Нет,"166090091 | Color кондиционер 200 мл для окрашенных волос | Домашка | кондиционер_Color | Color кондиционер 200 мл для окрашенных волос | JKeratin Color кондиционер для волос после окрашивания | 102059258251 | JKeratin Кондиционер Color для ухода за окрашенными волосами, 200 мл"
90,170413999,KNOT шампунь 250 мл,Домашка,шампунь_Knot,KNOT шампунь 250 мл,4657784320211,4657784320211,4657784320211,4657784320211,4657784320211,4657784320211,шампунь_Knot,19000233218,шампунь_Knot,JKeratin Шампунь Knot с S+S для легкого расчесывания волос,103196480503,Knot Шампунь для лёгкого расчёсывания волос с комплексом S+S,Нет,170413999 | KNOT шампунь 250 мл | Домашка | шампунь_Knot | KNOT шампунь 250 мл | JKeratin Шампунь Knot с S+S для легкого расчесывания волос | 103196480503 | Knot Шампунь для лёгкого расчёсывания волос с комплексом S+S
91,170414007,ANTI-FRIZZ кондиционер 200 мл,Домашка,кондиционер_AntiFrizz,ANTI-FRIZZ кондиционер 200 мл,4657784320204,4657784320204,4657784320204,4657784320204,4657784320204,4657784320204,кондиционер_AntiFrizz,19000233165,кондиционер_AntiFrizz,JKeratin Anti-Frizz кондиционер разглаживание волос с S+S,103197623438,"JKeratin Anti-Frizz кондиционер для разглаживания волос с комплексом S+S, 200 мл",Нет,"170414007 | ANTI-FRIZZ кондиционер 200 мл | Домашка | кондиционер_AntiFrizz | ANTI-FRIZZ кондиционер 200 мл | JKeratin Anti-Frizz кондиционер разглаживание волос с S+S | 103197623438 | JKeratin Anti-Frizz кондиционер для разглаживания волос с комплексом S+S, 200 мл"
92,166089201,DOCTOR Шампунь-скраб 150 мл,Домашка,шампунь-скраб_Doctor,DOCTOR Шампунь-скраб 150 мл,4657784320181,4657784320181,4657784320181,4657784320181,4657784320181,4657784320181,шампунь-скраб_Doctor,19000233222,шампунь-скраб_Doctor,JKeratin Doctor Scrab шампунь-скраб для очищения кожи головы,103196480502,DOCTOR Scrab шампунь-скраб для мягкого и тщательного очищения кожи головы,Нет,166089201 | DOCTOR Шампунь-скраб 150 мл | Домашка | шампунь-скраб_Doctor | DOCTOR Шампунь-скраб 150 мл | JKeratin Doctor Scrab шампунь-скраб для очищения кожи головы | 103196480502 | DOCTOR Scrab шампунь-скраб для мягкого и тщательного очищения кожи головы
93,,DOCTOR Шампунь-скраб 660 мл,Домашка,скраб_Doctor660,DOCTOR Шампунь-скраб 660 мл,4640468910938,4640468910938,4640468910938,4640468910938,4640468910938,4640468910938,скраб_Doctor660,19000233222,скраб_Doctor660,,5715184150,DOCTOR Scrab шампунь скраб для мягкого и тщательного очищения кожи головы,Нет,DOCTOR Шампунь-скраб 660 мл | Домашка | скраб_Doctor660 | DOCTOR Шампунь-скраб 660 мл | 5715184150 | DOCTOR Scrab шампунь скраб для мягкого и тщательного очищения кожи головы
94,188106704,DOCTOR Шампунь METAL DETOX 150 мл,Домашка,Doctor_MetalDetox,DOCTOR Шампунь METAL DETOX 150 мл,4657784320310,4657784320310,4657784320310,,4657784320310,4657784320310,Doctor_MetalDetox,19000276124,Doctor_MetalDetox,JKeratin Шампунь Doctor Metal Detox очищение от металлов,103196480504,"JKeratin шампунь Doctor Metal Detox для очищения волос от накопленных металлов, солей и щелочей, 150 мл",Нет,"188106704 | DOCTOR Шампунь METAL DETOX 150 мл | Домашка | Doctor_MetalDetox | DOCTOR Шампунь METAL DETOX 150 мл | JKeratin Шампунь Doctor Metal Detox очищение от металлов | 103196480504 | JKeratin шампунь Doctor Metal Detox для очищения волос от накопленных металлов, солей и щелочей, 150 мл"
