id,artikul_wb,nazvanie_kratkoe,kategoriya,artikul_prodavca_osnovnoy,alternativnye_nazvaniya,wb,ozon,ym,megamarket,letual,zya,dop_artikuly_1,kod_nomenklatury_zya,dop_artikuly_2,nazvanie_wb_korrektnoe,artikul_yam,nazvanie_yam,ishodnyy_status_kommentariy,poiskovaya_stroka
105,102137253,"Activator: 2 шт KERATIN AID, 75 мл",Активатор,KeratinAid75x2,НАБОР Activator Keratin AID 2 шт.,2036835324668,2036835324668,2036835324668,,2036835324668,2036835324668,KeratinAid75x2,,KeratinAid75x2,JKeratin Keratin Aid нейтрализует запах и дым от кератина,103196485932,Набор Keratin Aid - для нейтрализации запаха и дыма во время проведения кератинового выпрямления волос 2*75 мл,Нет,"102137253 | Activator: 2 шт KERATIN AID, 75 мл | Активатор | KeratinAid75x2 | НАБОР Activator Keratin AID 2 шт. | JKeratin Keratin Aid нейтрализует запах и дым от кератина | 103196485932 | Набор Keratin Aid - для нейтрализации запаха и дыма во время проведения кератинового выпрямления волос 2*75 мл"
106,177814971,Activator S+S 200 мл,Активатор,ActivatorS-S200,Activator S+S 200 мл,4620758271635,4620758271635,4620758271635,4620758271635,4620758271635,4620758271635,ActivatorS-S200,,ActivatorS-S200,JKeratin Активатор S+S в кератин восстановление защита волос,103197635048,JKeratin Активатор S+S для восстановления дисульфидных связей,Нет,177814971 | Activator S+S 200 мл | Активатор | ActivatorS-S200 | Activator S+S 200 мл | JKeratin Активатор S+S в кератин восстановление защита волос | 103197635048 | JKeratin Активатор S+S для восстановления дисульфидных связей
107,183885509,Activator Treatment 200 мл,Активатор,ActivatorTreatment200,Activator Treatment 200 мл,4620758270942,4620758270942,4620758270942,,4620758270942,4620758270942,ActivatorTreatment200,,ActivatorTreatment200,JKeratin Активатор Color Treatment добавка в краситель,103197635051,Activator Color Treatment— профессиональная универсальная добавка в осветляющие продукты и красители.,Нет,183885509 | Activator Treatment 200 мл | Активатор | ActivatorTreatment200 | Activator Treatment 200 мл | JKeratin Активатор Color Treatment добавка в краситель | 103197635051 | Activator Color Treatment— профессиональная универсальная добавка в осветляющие продукты и красители.
108,29292729,Activator Extra Gloss 200 мл,Активатор,ActivatorExtraGloss200,Activator Extra Gloss 200 мл,4620758271505,4620758271505,4620758271505,4620758271505,4620758271505,4620758271505,ActivatorExtraGloss200,,ActivatorExtraGloss200,JKeratin Extra Gloss добавка активатор в кератин для блеска,103196485934,"Activator Extra Gloss - средство для термозащиты и блеска волос, 200 мл.",Нет,"29292729 | Activator Extra Gloss 200 мл | Активатор | ActivatorExtraGloss200 | Activator Extra Gloss 200 мл | JKeratin Extra Gloss добавка активатор в кератин для блеска | 103196485934 | Activator Extra Gloss - средство для термозащиты и блеска волос, 200 мл."
109,158866652,Activator Collagen 200 мл,Активатор,ActivatorCollagen200,Activator Collagen 200 мл,4657784320242,4657784320242,4657784320242,4657784320242,4657784320242,4657784320242,ActivatorCollagen200,,ActivatorCollagen200,JKeratin Активатор Collagen в кератин для мягкости волос,103197635044,"Активатор Hydrolized Collagen профессиональная добавка для мягкости и увлажнения волос, 200 мл",Нет,"158866652 | Activator Collagen 200 мл | Активатор | ActivatorCollagen200 | Activator Collagen 200 мл | JKeratin Активатор Collagen в кератин для мягкости волос | 103197635044 | Активатор Hydrolized Collagen профессиональная добавка для мягкости и увлажнения волос, 200 мл"
110,250236203,Activator Collagen 50 мл,Активатор,ActivatorCollagen50,Activator Collagen 50 мл,4657784320662,4657784320662,4657784320662,4657784320662,4657784320662,4657784320662,ActivatorCollagen50,,ActivatorCollagen50,JKeratin Активатор Collagen в кератин для мягкости волос,103299433844,Активатор Hydrolized Collagen для мягкости увлажнения волос 50 мл,Нет,250236203 | Activator Collagen 50 мл | Активатор | ActivatorCollagen50 | Activator Collagen 50 мл | JKeratin Активатор Collagen в кератин для мягкости волос | 103299433844 | Активатор Hydrolized Collagen для мягкости увлажнения волос 50 мл
111,192539011,"НАБОР Activator (4*200 мл): S+S, Treatment, Extra Gloss, Collagen",Активатор,S-S_Gloss_Treatment_Collagen_4x200,НАБОР Activator Collagen+Extra Glos+S+S+ Treatment,2039078856750,2039078856750,2039078856750,,,,S-S_Gloss_Treatment_Collagen_4x200,,S-S_Gloss_Treatment_Collagen_4x200,JKeratin Активаторы в кератин блеск и восстановление волос,,,Нет,"192539011 | НАБОР Activator (4*200 мл): S+S, Treatment, Extra Gloss, Collagen | Активатор | S-S_Gloss_Treatment_Collagen_4x200 | НАБОР Activator Collagen+Extra Glos+S+S+ Treatment | JKeratin Активаторы в кератин блеск и восстановление волос"
112,,САШЕ - Activator Collagen 15 мл 2 шт,Активатор,саше2_ActivatorCollagen,САШЕ - Activator Collagen 15 мл,4657784320495,4657784320495,4657784320495,,4657784320495,4657784320495,саше2_ActivatorCollagen,,саше2_ActivatorCollagen,JKeratin Активатор Collagen в кератин для мягкости волос,103037253965,Активатор Hydrolyzed Collagen для мягкости и увлажнения волос 2x15 мл,Нет,САШЕ - Activator Collagen 15 мл 2 шт | Активатор | саше2_ActivatorCollagen | САШЕ - Activator Collagen 15 мл | JKeratin Активатор Collagen в кератин для мягкости волос | 103037253965 | Активатор Hydrolyzed Collagen для мягкости и увлажнения волос 2x15 мл
113,,САШЕ - Activator S+S 20 мл 2 шт,Активатор,саше2_ActivatorS-S,САШЕ - Activator S+S 20 мл,4657784320471,4657784320471,4657784320471,,4657784320471,4657784320471,саше2_ActivatorS-S,,саше2_ActivatorS-S,JKeratin Активатор S+S в кератин восстановление защита волос,103037186320,"Активатор S+S профессиональная добавка для восстановления дисульфидных связей, 2 x 20мл",Нет,"САШЕ - Activator S+S 20 мл 2 шт | Активатор | саше2_ActivatorS-S | САШЕ - Activator S+S 20 мл | JKeratin Активатор S+S в кератин восстановление защита волос | 103037186320 | Активатор S+S профессиональная добавка для восстановления дисульфидных связей, 2 x 20мл"
114,,САШЕ - Activator Treatment 20 мл 2 шт,Активатор,саше2_ActivatorTreatment,САШЕ - Activator Treatment 20 мл,4657784320464,4657784320464,4657784320464,,4657784320464,4657784320464,саше2_ActivatorTreatment,,саше2_ActivatorTreatment,JKeratin Активатор Color Treatment добавка в краситель,103037186319,"Активатор Color Treatment профессиональная добавка в осветляющие продукты и красители, саше 2x20 мл",Нет,"САШЕ - Activator Treatment 20 мл 2 шт | Активатор | саше2_ActivatorTreatment | САШЕ - Activator Treatment 20 мл | JKeratin Активатор Color Treatment добавка в краситель | 103037186319 | Активатор Color Treatment профессиональная добавка в осветляющие продукты и красители, саше 2x20 мл"
115,155724326,"Бигуди-коклюшки #1: d=6мм, L=91 мм, 12 шт х 2",Акссы,Бигуди_белые_24,,,,,,,,Бигуди_белые_24,,Бигуди_белые_24,JKeratin Бигуди-коклюшки 6x91 мм 24 шт белые,101988911608,"Бигуди-коклюшки белые для химической завивки диаметр 6 мм, длина 91 мм, 24 шт",Нет,"155724326 | Бигуди-коклюшки #1: d=6мм, L=91 мм, 12 шт х 2 | Акссы | Бигуди_белые_24 | JKeratin Бигуди-коклюшки 6x91 мм 24 шт белые | 101988911608 | Бигуди-коклюшки белые для химической завивки диаметр 6 мм, длина 91 мм, 24 шт"
116,155724324,"Бигуди-коклюшки #1: d=6мм, L=91 мм, 12 шт",Акссы,Бигуди_белые_12,,,,,,,,Бигуди_белые_12,,Бигуди_белые_12,JKeratin Бигуди-коклюшки 6x91 мм 12 шт белые,101988911607,"Бигуди-коклюшки белые для химической завивки диаметр 6 мм, длина 91 мм, 12 шт",Нет,"155724324 | Бигуди-коклюшки #1: d=6мм, L=91 мм, 12 шт | Акссы | Бигуди_белые_12 | JKeratin Бигуди-коклюшки 6x91 мм 12 шт белые | 101988911607 | Бигуди-коклюшки белые для химической завивки диаметр 6 мм, длина 91 мм, 12 шт"
117,155724328,"Бигуди-коклюшки #2: d=7мм, L=91 мм, 12 шт х 2",Акссы,Бигуди_розовые_24,,,,,,,,Бигуди_розовые_24,,Бигуди_розовые_24,JKeratin Бигуди-коклюшки 7x91 мм 24 шт розовые,101985394662,"Бигуди-коклюшки розовые для химической завивки диаметр 7 мм, длина 91 мм, 24 шт",Нет,"155724328 | Бигуди-коклюшки #2: d=7мм, L=91 мм, 12 шт х 2 | Акссы | Бигуди_розовые_24 | JKeratin Бигуди-коклюшки 7x91 мм 24 шт розовые | 101985394662 | Бигуди-коклюшки розовые для химической завивки диаметр 7 мм, длина 91 мм, 24 шт"
118,155724327,"Бигуди-коклюшки #2: d=7мм, L=91 мм, 12 шт",Акссы,Бигуди_розовые_12,,,,,,,,Бигуди_розовые_12,,Бигуди_розовые_12,JKeratin Бигуди-коклюшки 7x91 мм 12 шт розовые,101985555454,"Бигуди-коклюшки розовые для химической завивки диаметр 7 мм, длина 91 мм, 12 шт",Нет,"155724327 | Бигуди-коклюшки #2: d=7мм, L=91 мм, 12 шт | Акссы | Бигуди_розовые_12 | JKeratin Бигуди-коклюшки 7x91 мм 12 шт розовые | 101985555454 | Бигуди-коклюшки розовые для химической завивки диаметр 7 мм, длина 91 мм, 12 шт"
119,163250433,"Бигуди-коклюшки #3: d=8, L=91 мм,12 шт х 2",Акссы,Бигуди_желтые_24,,,,,,,,Бигуди_желтые_24,,Бигуди_желтые_24,JKeratin Бигуди-коклюшки 8x91 мм 24 шт желтые,,,Нет,"163250433 | Бигуди-коклюшки #3: d=8, L=91 мм,12 шт х 2 | Акссы | Бигуди_желтые_24 | JKeratin Бигуди-коклюшки 8x91 мм 24 шт желтые"
120,155724329,"Бигуди-коклюшки #3: d=8, L=91 мм,12 шт",Акссы,Бигуди_желтые_12,,,,,,,,Бигуди_желтые_12,,Бигуди_желтые_12,JKeratin Бигуди-коклюшки 8x91 мм 12 шт желтые,,,Нет,"155724329 | Бигуди-коклюшки #3: d=8, L=91 мм,12 шт | Акссы | Бигуди_желтые_12 | JKeratin Бигуди-коклюшки 8x91 мм 12 шт желтые"
121,163252814,"Бигуди-коклюшки #4: d=11, L=91 мм,12 шт х 2",Акссы,Бигуди_голубые_24,,,,,,,,Бигуди_голубые_24,,Бигуди_голубые_24,JKeratin Бигуди-коклюшки 11x91 мм 24 шт голубые,,,Нет,"163252814 | Бигуди-коклюшки #4: d=11, L=91 мм,12 шт х 2 | Акссы | Бигуди_голубые_24 | JKeratin Бигуди-коклюшки 11x91 мм 24 шт голубые"
122,155724322,"Бигуди-коклюшки #4: d=11, L=91 мм,12 шт",Акссы,Бигуди_голубые_12,,,,,,,,Бигуди_голубые_12,,Бигуди_голубые_12,JKeratin Бигуди-коклюшки 11x91 мм 12 шт голубые,,,Нет,"155724322 | Бигуди-коклюшки #4: d=11, L=91 мм,12 шт | Акссы | Бигуди_голубые_12 | JKeratin Бигуди-коклюшки 11x91 мм 12 шт голубые"
123,163252626,"Бигуди-коклюшки #5: d=9, L=91 мм,12 шт х 2",Акссы,Бигуди_красные_24,,,,,,,,Бигуди_красные_24,,Бигуди_красные_24,JKeratin Бигуди-коклюшки 9x91 мм 24 шт красные,,,Нет,"163252626 | Бигуди-коклюшки #5: d=9, L=91 мм,12 шт х 2 | Акссы | Бигуди_красные_24 | JKeratin Бигуди-коклюшки 9x91 мм 24 шт красные"
124,155724330,"Бигуди-коклюшки #5: d=9, L=91 мм,12 шт",Акссы,Бигуди_красные_12,,,,,,,,Бигуди_красные_12,,Бигуди_красные_12,JKeratin Бигуди-коклюшки 9x91 мм 12 шт красные,,,Нет,"155724330 | Бигуди-коклюшки #5: d=9, L=91 мм,12 шт | Акссы | Бигуди_красные_12 | JKeratin Бигуди-коклюшки 9x91 мм 12 шт красные"
125,163252938,"Бигуди-коклюшки #6: d=17мм, L=91 мм, 12 шт х 2",Акссы,Бигуди_чёрные_24,,,,,,,,Бигуди_чёрные_24,,Бигуди_чёрные_24,JKeratin Бигуди-коклюшки 17x91 мм 24 шт черные,,,Нет,"163252938 | Бигуди-коклюшки #6: d=17мм, L=91 мм, 12 шт х 2 | Акссы | Бигуди_чёрные_24 | JKeratin Бигуди-коклюшки 17x91 мм 24 шт черные"
126,155724323,"Бигуди-коклюшки #6: d=17мм, L=91 мм, 12 шт",Акссы,Бигуди_чёрные_12,,,,,,,,Бигуди_чёрные_12,,Бигуди_чёрные_12,JKeratin Бигуди-коклюшки 17x91 мм 12 шт черные,101986316064,"Бигуди-коклюшки черные для химической завивки диаметр 17 мм, длина 91 мм, 12 шт",Нет,"155724323 | Бигуди-коклюшки #6: d=17мм, L=91 мм, 12 шт | Акссы | Бигуди_чёрные_12 | JKeratin Бигуди-коклюшки 17x91 мм 12 шт черные | 101986316064 | Бигуди-коклюшки черные для химической завивки диаметр 17 мм, длина 91 мм, 12 шт"
127,,Зажимная расческа JKERATIN,Акссы,,,,,,,,,,,,,,,Да,Зажимная расческа JKERATIN | Акссы
128,,Зажим JKERATIN «аллигатор» (набор из 4-х шт),Акссы,,,,,,,,,,,,,,,Да,Зажим JKERATIN «аллигатор» (набор из 4-х шт) | Акссы
129,,Защитные силиконовые накладки на уши JKERATIN,Акссы,,,,,,,,,,,,,,,Да,Защитные силиконовые накладки на уши JKERATIN | Акссы
130,,2 шт Защитные силиконовые накладки на уши,Акссы,,,,,,,,,,,,,,,Да,2 шт Защитные силиконовые накладки на уши | Акссы
131,,Коврик JKERATIN силиконовый (ЗЕЛЕН),Акссы,Коврик_зелёный,,,,,,,,Коврик_зелёный,,Коврик_зелёный,,102179527380,Парикмахерский термо-коврик зеленый / коврик силиконовый для салона красоты / коврик для горячих инструментов,Нет,Коврик JKERATIN силиконовый (ЗЕЛЕН) | Акссы | Коврик_зелёный | 102179527380 | Парикмахерский термо-коврик зеленый / коврик силиконовый для салона красоты / коврик для горячих инструментов
132,,Коврик JKERATIN силиконовый (ФИОЛЕТ.),Акссы,Коврик_розовый,,,,,,,,Коврик_розовый,,Коврик_розовый,,,,Да,Коврик JKERATIN силиконовый (ФИОЛЕТ.) | Акссы | Коврик_розовый
133,157055954,Пеньюар парикмахерский рабочий JKERATIN,Акссы,Пеньюар,,,,,,,,Пеньюар,,Пеньюар,,102173459463,JKeratin парикмахерский пеньюар с водоотталкивающей пропиткой,Нет,157055954 | Пеньюар парикмахерский рабочий JKERATIN | Акссы | Пеньюар | 102173459463 | JKeratin парикмахерский пеньюар с водоотталкивающей пропиткой
134,,2шт Расчёски Карбон (белые) с хвостиком и гребень,Акссы,,,,,,,,,,,,,,,Да,2шт Расчёски Карбон (белые) с хвостиком и гребень | Акссы
135,161499403,Фартук парикмахерский серый JKeratin,Акссы,Фартук,,,,,,,,Фартук,,Фартук,Парикмахерский рабочий фартук,102187681396,"Парикмахерский фартук JKeratin с водоотталкивающей пропиткой, кармашками и застёжкой на талии",Нет,"161499403 | Фартук парикмахерский серый JKeratin | Акссы | Фартук | Парикмахерский рабочий фартук | 102187681396 | Парикмахерский фартук JKeratin с водоотталкивающей пропиткой, кармашками и застёжкой на талии"
136,29292774,Щетка массажная инновационная квадратная - зеленая,Акссы,Расческа_зелёная,,,,,,,,Расческа_зелёная,,Расческа_зелёная,Массажная расческа для укладки волос зеленая,,,Нет,29292774 | Щетка массажная инновационная квадратная - зеленая | Акссы | Расческа_зелёная | Массажная расческа для укладки волос зеленая
137,29292737,Щетка массажная инновационная квадратная - розовая,Акссы,Расческа_розовая,Щетка массажная инновационная квадратная - розовая,2002970053039,4657784320143,2002970053039,,2002970053039,2002970053039,Расческа_розовая,,Расческа_розовая,Массажная расческа для укладки волос розовая,,,Нет,29292737 | Щетка массажная инновационная квадратная - розовая | Акссы | Расческа_розовая | Щетка массажная инновационная квадратная - розовая | Массажная расческа для укладки волос розовая
138,29292732,2 шт продувная (квадратная) розовая+зеленая,Акссы,Расческа2_розовая_зелёная,,,,,,,,Расческа2_розовая_зелёная,,Расческа2_розовая_зелёная,Массажная расческа для укладки волос 2шт.,102210322544,Набор из 2 продувных расчёсок JKeratin (зеленая и розовая) для профессионального ухода за волосами,Нет,29292732 | 2 шт продувная (квадратная) розовая+зеленая | Акссы | Расческа2_розовая_зелёная | Массажная расческа для укладки волос 2шт. | 102210322544 | Набор из 2 продувных расчёсок JKeratin (зеленая и розовая) для профессионального ухода за волосами
139,,Щетка массажная (круглая) розовая/фиолетовая,Акссы,,,,,,,,,,,,,,,Да,Щетка массажная (круглая) розовая/фиолетовая | Акссы
140,,2 шт продувная квадратная зелёная,Акссы,Расческа_зелёная_2шт,,,,,,,,Расческа_зелёная_2шт,,Расческа_зелёная_2шт,,102235407453,Набор из 2 зелёных продувных расчёсок JKeratin для профессионального ухода за волосами,Нет,2 шт продувная квадратная зелёная | Акссы | Расческа_зелёная_2шт | 102235407453 | Набор из 2 зелёных продувных расчёсок JKeratin для профессионального ухода за волосами
141,,2 шт продувная квадратная розовая,Акссы,Расческа_розовая_2шт,,,,,,,,Расческа_розовая_2шт,,Расческа_розовая_2шт,,102235407452,Набор из 2 розовых продувных расчёсок JKeratin для профессионального ухода за волосами,Нет,2 шт продувная квадратная розовая | Акссы | Расческа_розовая_2шт | 102235407452 | Набор из 2 розовых продувных расчёсок JKeratin для профессионального ухода за волосами
142,211317797,Must Have pH 4.0 Шампунь-стабилизатор 500 мл,Проф уход,MustHave500,Must Have pH 4.0 Шампунь-стабилизатор 500 мл,4657784320709,4657784320709,4657784320709,4657784320709,4657784320709,4657784320709,MustHave500,,MustHave500,"Шампунь Must Have после кератина, окрашивания 500 мл",103719069570,"Шампунь-стабилизатор Must Have для завершения кератинового выпрямления, окрашивания 500 мл",Нет,"211317797 | Must Have pH 4.0 Шампунь-стабилизатор 500 мл | Проф уход | MustHave500 | Must Have pH 4.0 Шампунь-стабилизатор 500 мл | Шампунь Must Have после кератина, окрашивания 500 мл | 103719069570 | Шампунь-стабилизатор Must Have для завершения кератинового выпрямления, окрашивания 500 мл"
143,768345402,Wow Spray Профессиональное средство для завершения процедур 200 мл.,Проф уход,WowSpray200,Wow Spray 200 мл,4640468910815,4640468910815,4640468910815,4640468910815,4640468910815,4640468910815,WowSpray200,,WowSpray200,JKeratin Wow Spray профессиональный кератиновый финиш спрей,5056054499,Wow Spray профессиональный кератиновый финиш - спрей 200 мл.,Нет,768345402 | Wow Spray Профессиональное средство для завершения процедур 200 мл. | Проф уход | WowSpray200 | Wow Spray 200 мл | JKeratin Wow Spray профессиональный кератиновый финиш спрей | 5056054499 | Wow Spray профессиональный кератиновый финиш - спрей 200 мл.
